id,title,description,module_id,duration
468,01: Welcome to The Course,A quick introduction and welcome to the course with some key information to get started.,8,1493.035
469,02: Course Motivation and Overview,The grand vision of the course as of March 2021.,8,0
470,03: Common Misconceptions About Programming,Learning a programming language is different from other things you've learned.  In this exercise I give you helpful tips on how to better succeed.,8,0
471,04: Setup for Windows,Getting your Windows 10 computer ready to code.,8,1882.936
472,05: Setup for OSX,Setting up your OSX/Mac computer for code.,8,1501.155
473,06: Setup for Linux or WSL,"Getting a Linux system ready, or using Windows Subsystem for Linux.",8,1360.341
474,07: PowerShell Basics,Learning to use enough PowerShell to complete the course.,8,2027.03
475,08: Bash Basics,"A quick introduction to bash if you run Linux, WSL, or OSX.",8,2360.512
476,09: Available Help Resources,The general technical help resources available for you as a customer of the course.,8,0
477,10: Next Steps,What you should be doing next.,8,0
478,00: Gearing Up,Getting the software you need to finish this module.,9,955.589
479,01: A First Program,Your very first JavaScript program.,9,470.302
480,02: Comments,How to comment out parts of your code and write help for your future self.,9,264.342
481,03: Simple Math and Strings,Doing simple math and creating displayable text in strings.,9,634.342
482,04: Variables,Variables for storing and referencing information.,9,758.062
483,05: Constants,Constants are variables that you claim will not change.,9,320.222
484,06: Escape Sequences,When you write a string how do you put a string in it?,9,229.902
485,07: Prompting Input,Asking a person for input from the terminal.,9,620.422
486,08: Command Line Arguments,Accepting input from the user as command line options on your script.,9,624.382
487,09: Files,Reading files with the fs (filesystem) module.,9,578.622
488,"10: Files, Args, and Variables",Combining reading files with accepting command line arguments.,9,351.262
489,11: Functions,Creating small pieces of code and jumping to them with functions.,9,1542.902
490,"12: Functions, Files, Variables","Combining everything learned so far with functions, files, and variables in one.",9,529.022
491,13: Modules,Packing a group of related files into a single component called a module.,9,412.342
492,14: True and False Tests,The start of logic comparison operations.,9,888.222
493,15: If and Else,The introduction of branching with if and else.,9,309.702
494,16: While Loops,The concept of repeating a block of code with a while-loop.,9,452.102
495,17: Sequences and For Loops,Lists of data and enumerating them with a for-loop.,9,1049.182
496,18: More Arrays,Studying Arrays even more and becoming proficient at nesting them.,9,409.862
497,19: Data Objects,First step with objects just for key/value data.,9,1159.662
498,20: First Game,Creating a little game to combine everything learned thus far.,9,555.542
499,21: Simple OOP,Going from Data Objects and Functions to Object Oriented Programming.,9,1349.662
500,22: More Complex OOP,Using the new ES6 style of classes is much better than the last exercise's classes.,9,648.622
501,23: Inheritance,Learning about the concept of inheritance in OOP.,9,1134.742
502,24: OOP Game,Creating an OOP version of our little game.,9,1071.142
503,25: Functions and Recursion,Studying a complex use of functions calling their self to do a loop.,9,398.302
504,26: Transforming Data,Processing Arrays with handy functions and callbacks like map and reduce.,9,955.982
505,27: Applying Functions,You can chain sequences of functions together to perform more complex sequences of operations.,9,144.982
506,28: Scope and Closures,The concept of scope in ES6 vs. older JavaScript and why you should use let and const instead of var.,9,453.102
507,29: Partial Application,A more complicated technique to push your understanding of callbacks and filters.,9,470.862
508,"30: Callbacks, Events, Promises and Async","This exercise covers the many, many, many ways that JavaScript handles asynchronous events.",9,2058.942
